,Class,probability,long,lat,Distance,character,color_shape,color_char
137,['trapezoid'],,,,0,not found,not found,not found
138,['Human'],,,,0,not found,not found,not found
139,['rectangle'],,,,0,not found,not found,not found
140,['trapezoid'],,,,0,not found,not found,not found
141,['rectangle'],,,,0,not found,not found,not found
142,['trapezoid'],,,,0,not found,not found,not found
143,['Human'],,,,0,not found,not found,not found
144,['rectangle'],,,,0,not found,not found,not found
145,['trapezoid'],,,,0,not found,not found,not found
146,['rectangle'],,,,0,not found,not found,not found
147,['trapezoid'],,,,0,not found,not found,not found
148,['Human'],,,,0,not found,not found,not found
149,['rectangle'],,,,0,not found,not found,not found
150,['trapezoid'],,,,0,not found,not found,not found
151,['rectangle'],,,,0,not found,not found,not found
152,['trapezoid'],,,,0,not found,not found,not found
153,['Human'],,,,0,not found,not found,not found
154,['rectangle'],,,,0,not found,not found,not found
155,['trapezoid'],,,,0,not found,not found,not found
156,['rectangle'],,,,0,not found,not found,not found
157,['trapezoid'],,,,0,not found,not found,not found
158,['Human'],,,,0,not found,not found,not found
159,['rectangle'],,,,0,not found,not found,not found
160,['trapezoid'],,,,0,not found,not found,not found
161,['rectangle'],,,,0,not found,not found,not found
162,['trapezoid'],,,,0,not found,not found,not found
163,['Human'],,,,0,not found,not found,not found
164,['rectangle'],,,,0,not found,not found,not found
165,['trapezoid'],,,,0,not found,not found,not found
166,['rectangle'],,,,0,not found,not found,not found
167,['trapezoid'],,,,0,not found,not found,not found
168,['Human'],,,,0,not found,not found,not found
169,['rectangle'],,,,0,not found,not found,not found
170,['trapezoid'],,,,0,not found,not found,not found
171,['rectangle'],,,,0,not found,not found,not found
172,['trapezoid'],,,,0,not found,not found,not found
173,['Human'],,,,0,not found,not found,not found
174,['rectangle'],,,,0,not found,not found,not found
175,['trapezoid'],,,,0,not found,not found,not found
176,['rectangle'],,,,0,not found,not found,not found
177,['trapezoid'],,,,0,not found,not found,not found
178,['Human'],,,,0,not found,not found,not found
179,['rectangle'],,,,0,not found,not found,not found
180,['trapezoid'],,,,0,not found,not found,not found
181,['rectangle'],,,,0,not found,not found,not found
182,['trapezoid'],,,,0,not found,not found,not found
183,['Human'],,,,0,not found,not found,not found
184,['rectangle'],,,,0,not found,not found,not found
185,['trapezoid'],,,,0,not found,not found,not found
186,['rectangle'],,,,0,not found,not found,not found
187,['trapezoid'],,,,0,not found,not found,not found
188,['Human'],,,,0,not found,not found,not found
189,['rectangle'],,,,0,not found,not found,not found
190,['trapezoid'],,,,0,not found,not found,not found
191,['rectangle'],,,,0,not found,not found,not found
192,['trapezoid'],,,,0,not found,not found,not found
193,['Human'],,,,0,not found,not found,not found
194,['rectangle'],,,,0,not found,not found,not found
195,['trapezoid'],,,,0,not found,not found,not found
196,['rectangle'],,,,0,not found,not found,not found
197,['trapezoid'],,,,0,not found,not found,not found
198,['Human'],,,,0,not found,not found,not found
199,['rectangle'],,,,0,not found,not found,not found
200,['trapezoid'],,,,0,not found,not found,not found
201,['rectangle'],,,,0,not found,not found,not found
202,['trapezoid'],,,,0,not found,not found,not found
203,['Human'],,,,0,not found,not found,not found
204,['rectangle'],,,,0,not found,not found,not found
205,['trapezoid'],,,,0,not found,not found,not found
206,['rectangle'],,,,0,not found,not found,not found
207,['trapezoid'],,,,0,not found,not found,not found
208,['Human'],,,,0,not found,not found,not found
209,['rectangle'],,,,0,not found,not found,not found
210,['trapezoid'],,,,0,not found,not found,not found
211,['rectangle'],,,,0,not found,not found,not found
212,['trapezoid'],,,,0,not found,not found,not found
213,['Human'],,,,0,not found,not found,not found
214,['rectangle'],,,,0,not found,not found,not found
215,['trapezoid'],,,,0,not found,not found,not found
216,['rectangle'],,,,0,not found,not found,not found
217,['trapezoid'],,,,0,not found,not found,not found
218,['Human'],,,,0,not found,not found,not found
219,['rectangle'],,,,0,not found,not found,not found
220,['trapezoid'],,,,0,not found,not found,not found
221,['rectangle'],,,,0,not found,not found,not found
222,['trapezoid'],,,,0,not found,not found,not found
223,['Human'],,,,0,not found,not found,not found
224,['rectangle'],,,,0,not found,not found,not found
225,['trapezoid'],,,,0,not found,not found,not found
226,['rectangle'],,,,0,not found,not found,not found
227,['trapezoid'],,,,0,not found,not found,not found
228,['Human'],,,,0,not found,not found,not found
229,['rectangle'],,,,0,not found,not found,not found
230,['trapezoid'],,,,0,not found,not found,not found
231,['rectangle'],,,,0,not found,not found,not found
232,['trapezoid'],,,,0,not found,not found,not found
233,['Human'],,,,0,not found,not found,not found
234,['rectangle'],,,,0,not found,not found,not found
235,['trapezoid'],,,,0,not found,not found,not found
236,['rectangle'],,,,0,not found,not found,not found
237,['trapezoid'],,,,0,not found,not found,not found
238,['Human'],,,,0,not found,not found,not found
239,['rectangle'],,,,0,not found,not found,not found
240,['trapezoid'],,,,0,not found,not found,not found
241,['rectangle'],,,,0,not found,not found,not found
242,['trapezoid'],,,,0,not found,not found,not found
243,['Human'],,,,0,not found,not found,not found
244,['rectangle'],,,,0,not found,not found,not found
245,['trapezoid'],,,,0,not found,not found,not found
246,['rectangle'],,,,0,not found,not found,not found
247,['trapezoid'],,,,0,not found,not found,not found
248,['Human'],,,,0,not found,not found,not found
249,['rectangle'],,,,0,not found,not found,not found
250,['trapezoid'],,,,0,not found,not found,not found
251,['rectangle'],,,,0,not found,not found,not found
252,['trapezoid'],,,,0,not found,not found,not found
253,['Human'],,,,0,not found,not found,not found
254,['rectangle'],,,,0,not found,not found,not found
255,['trapezoid'],,,,0,not found,not found,not found
256,['rectangle'],,,,0,not found,not found,not found
257,['trapezoid'],,,,0,not found,not found,not found
258,['Human'],,,,0,not found,not found,not found
259,['rectangle'],,,,0,not found,not found,not found
260,['trapezoid'],,,,0,not found,not found,not found
261,['rectangle'],,,,0,not found,not found,not found
262,['trapezoid'],,,,0,not found,not found,not found
263,['Human'],,,,0,not found,not found,not found
264,['rectangle'],,,,0,not found,not found,not found
265,['trapezoid'],,,,0,not found,not found,not found
266,['rectangle'],,,,0,not found,not found,not found
267,['trapezoid'],,,,0,not found,not found,not found
268,['Human'],,,,0,not found,not found,not found
269,['rectangle'],,,,0,not found,not found,not found
270,['trapezoid'],,,,0,not found,not found,not found
271,['rectangle'],,,,0,not found,not found,not found
272,['trapezoid'],,,,0,not found,not found,not found
273,['Human'],,,,0,not found,not found,not found
274,['rectangle'],,,,0,not found,not found,not found
275,['trapezoid'],,,,0,not found,not found,not found
276,['rectangle'],,,,0,not found,not found,not found
277,['trapezoid'],,,,0,not found,not found,not found
278,['Human'],,,,0,not found,not found,not found
279,['rectangle'],,,,0,not found,not found,not found
280,['trapezoid'],,,,0,not found,not found,not found
281,['rectangle'],,,,0,not found,not found,not found
282,['trapezoid'],,,,0,not found,not found,not found
283,['Human'],,,,0,not found,not found,not found
284,['rectangle'],,,,0,not found,not found,not found
285,['trapezoid'],,,,0,not found,not found,not found
286,['rectangle'],,,,0,not found,not found,not found
287,['trapezoid'],,,,0,not found,not found,not found
288,['Human'],,,,0,not found,not found,not found
289,['rectangle'],,,,0,not found,not found,not found
290,['trapezoid'],,,,0,not found,not found,not found
291,['rectangle'],,,,0,not found,not found,not found
292,['trapezoid'],,,,0,not found,not found,not found
293,['Human'],,,,0,not found,not found,not found
294,['rectangle'],,,,0,not found,not found,not found
295,['trapezoid'],,,,0,not found,not found,not found
296,['rectangle'],,,,0,not found,not found,not found
297,['trapezoid'],,,,0,not found,not found,not found
298,['Human'],,,,0,not found,not found,not found
299,['rectangle'],,,,0,not found,not found,not found
300,['trapezoid'],,,,0,not found,not found,not found
301,['rectangle'],,,,0,not found,not found,not found
302,['trapezoid'],,,,0,not found,not found,not found
303,['Human'],,,,0,not found,not found,not found
304,['rectangle'],,,,0,not found,not found,not found
305,['trapezoid'],,,,0,not found,not found,not found
306,['rectangle'],,,,0,not found,not found,not found
307,['trapezoid'],,,,0,not found,not found,not found
308,['Human'],,,,0,not found,not found,not found
309,['rectangle'],,,,0,not found,not found,not found
310,['trapezoid'],,,,0,not found,not found,not found
311,['rectangle'],,,,0,not found,not found,not found
312,['trapezoid'],,,,0,not found,not found,not found
313,['Human'],,,,0,not found,not found,not found
314,['rectangle'],,,,0,not found,not found,not found
315,['trapezoid'],,,,0,not found,not found,not found
316,['rectangle'],,,,0,not found,not found,not found
317,['trapezoid'],,,,0,not found,not found,not found
318,['Human'],,,,0,not found,not found,not found
319,['rectangle'],,,,0,not found,not found,not found
320,['trapezoid'],,,,0,not found,not found,not found
321,['rectangle'],,,,0,not found,not found,not found
322,['trapezoid'],,,,0,not found,not found,not found
323,['Human'],,,,0,not found,not found,not found
324,['rectangle'],,,,0,not found,not found,not found
325,['trapezoid'],,,,0,not found,not found,not found
326,['rectangle'],,,,0,not found,not found,not found
327,['trapezoid'],,,,0,not found,not found,not found
328,['Human'],,,,0,not found,not found,not found
329,['rectangle'],,,,0,not found,not found,not found
330,['trapezoid'],,,,0,not found,not found,not found
331,['rectangle'],,,,0,not found,not found,not found
332,['trapezoid'],,,,0,not found,not found,not found
333,['Human'],,,,0,not found,not found,not found
334,['rectangle'],,,,0,not found,not found,not found
335,['trapezoid'],,,,0,not found,not found,not found
336,['rectangle'],,,,0,not found,not found,not found
337,['trapezoid'],,,,0,not found,not found,not found
338,['Human'],,,,0,not found,not found,not found
339,['rectangle'],,,,0,not found,not found,not found
